iter	Passed	Remaining
148	911	5204
149	915	5187
150	918	5163
151	922	5146
152	926	5128
153	930	5111
154	934	5097
155	939	5081
156	943	5063
157	946	5046
158	951	5034
159	956	5023
160	961	5008
161	965	4993
162	969	4977
163	973	4960
164	977	4947
165	981	4933
166	986	4918
167	990	4907
168	995	4893
169	999	4878
170	1003	4864
171	1007	4851
172	1012	4839
173	1016	4826
174	1020	4812
175	1025	4801
176	1030	4789
177	1034	4776
178	1038	4762
179	1042	4750
180	1047	4738
181	1051	4724
182	1055	4713
183	1059	4699
184	1064	4687
185	1068	4674
186	1072	4662
187	1076	4648
188	1080	4635
189	1084	4623
190	1088	4608
191	1092	4596
192	1096	4583
193	1100	4571
194	1104	4559
195	1107	4541
196	1111	4531
197	1116	4521
198	1120	4511
199	1129	4516
200	1133	4503
201	1137	4491
202	1141	4483
203	1146	4475
204	1151	4465
205	1155	4454
206	1160	4444
207	1163	4430
208	1167	4416
209	1170	4404
210	1174	4393
211	1178	4381
212	1182	4370
213	1187	4361
214	1191	4349
215	1195	4338
216	1199	4327
217	1203	4317
218	1208	4308
219	1212	4298
220	1216	4289
221	1220	4277
222	1224	4266
223	1229	4258
224	1233	4249
225	1237	4238
226	1241	4227
227	1245	4216
228	1249	4205
229	1252	4194
230	1256	4182
231	1260	4172
232	1264	4162
233	1268	4150
234	1271	4139
235	1275	4130
236	1279	4119
237	1283	4109
238	1287	4099
239	1291	4090
240	1295	4080
241	1299	4071
242	1303	4062
243	1308	4053
244	1311	4042
245	1315	4032
246	1320	4024
247	1323	4014
248	1327	4004
249	1331	3993
250	1335	3985
251	1339	3977
252	1344	3969
253	1348	3960
254	1352	3951
255	1356	3941
256	1359	3931
257	1364	3922
258	1368	3914
259	1372	3905
260	1376	3896
261	1380	3887
262	1384	3878
263	1388	3869
264	1391	3860
265	1396	3852
266	1400	3843
267	1403	3834
268	1407	3825
269	1411	3816
270	1415	3807
271	1419	3799
272	1423	3791
273	1427	3782
274	1431	3774
275	1435	3766
276	1440	3759
277	1444	3752
278	1448	3744
279	1451	3732
280	1455	3725
281	1459	3716
282	1463	3707
283	1467	3699
284	1471	3691
285	1475	3682
286	1479	3674
287	1482	3666
288	1486	3658
289	1490	3650
290	1494	3641
291	1498	3633
292	1503	3627
293	1506	3618
294	1511	3611
295	1515	3603
296	1519	3595
297	1522	3587
298	1527	3580
299	1532	3574
300	1536	3567
301	1540	3559
302	1544	3553
303	1548	3545
304	1552	3537
305	1556	3529
306	1560	3522
307	1564	3514
308	1568	3507
309	1573	3501
310	1577	3494
311	1581	3486
312	1585	3479
313	1590	3474
314	1594	3466
315	1598	3460
316	1602	3452
317	1607	3446
318	1611	3440
319	1616	3434
320	1620	3426
321	1624	3419
322	1627	3412
323	1631	3404
324	1636	3399
325	1640	3392
326	1644	3384
327	1648	3377
328	1653	3372
329	1657	3365
330	1662	3359
331	1665	3351
332	1669	3344
333	1673	3337
334	1677	3330
335	1681	3323
336	1685	3315
337	1689	3309
338	1693	3302
339	1697	3294
340	1700	3287
341	1705	3281
342	1709	3274
343	1713	3267
344	1717	3260
345	1721	3254
346	1726	3248
347	1730	3242
348	1734	3235
349	1739	3229
350	1743	3223
351	1747	3216
352	1751	3210
353	1755	3202
354	1759	3197
355	1763	3190
356	1768	3185
357	1772	3178
358	1776	3171
359	1780	3165
360	1784	3159
361	1788	3152
362	1792	3145
363	1796	3139
364	1800	3133
365	1804	3126
366	1808	3118
367	1813	3114
368	1817	3108
369	1821	3101
370	1826	3097
371	1830	3090
372	1834	3083
373	1838	3077
374	1843	3071
375	1846	3064
376	1850	3057
377	1854	3051
378	1858	3045
379	1862	3039
380	1866	3032
381	1871	3026
382	1875	3020
383	1879	3014
384	1882	3007
385	1888	3004
386	1892	2997
387	1896	2991
388	1901	2986
389	1904	2979
390	1908	2972
391	1912	2966
392	1917	2961
393	1921	2955
394	1925	2948
395	1929	2943
396	1933	2937
397	1937	2930
398	1941	2924
399	1946	2919
400	1950	2913
401	1954	2907
402	1958	2901
403	1963	2896
404	1967	2890
405	1971	2884
406	1976	2879
407	1980	2873
408	1984	2867
409	1988	2861
410	1992	2855
411	1996	2849
412	1999	2842
413	2004	2837
414	2008	2831
415	2012	2825
416	2016	2819
417	2035	2833
418	2038	2826
419	2041	2818
420	2044	2811
421	2046	2803
422	2050	2796
423	2053	2789
424	2056	2782
425	2059	2774
426	2062	2767
427	2066	2761
428	2069	2754
429	2073	2748
430	2075	2740
431	2078	2733
432	2081	2725
433	2085	2719
434	2088	2712
435	2091	2705
436	2094	2698
437	2097	2690
438	2100	2683
439	2103	2677
440	2106	2670
441	2109	2663
442	2112	2656
443	2116	2650
444	2119	2643
445	2122	2636
446	2126	2630
447	2129	2623
448	2132	2617
449	2135	2610
450	2138	2603
451	2141	2596
452	2144	2589
453	2148	2583
454	2152	2577
455	2159	2575
456	2163	2570
457	2167	2565
458	2171	2559
459	2175	2554
460	2187	2557
461	2191	2551
462	2194	2544
463	2197	2538
464	2200	2531
465	2203	2525
466	2206	2518
467	2210	2512
468	2213	2505
469	2216	2499
470	2219	2492
471	2221	2485
472	2224	2478
473	2227	2472
474	2230	2465
475	2233	2459
476	2237	2452
477	2239	2445
478	2242	2438
479	2244	2431
480	2247	2424
481	2249	2417
482	2251	2409
483	2253	2402
484	2255	2394
485	2257	2387
486	2259	2379
487	2261	2372
488	2263	2365
489	2265	2357
490	2266	2349
491	2268	2342
492	2270	2335
493	2272	2328
494	2274	2320
495	2276	2313
496	2278	2306
497	2280	2298
498	2282	2291
499	2284	2284
500	2285	2276
501	2287	2269
502	2289	2261
503	2290	2254
504	2292	2247
505	2294	2240
506	2296	2232
507	2297	2225
508	2299	2218
509	2301	2210
510	2302	2203
511	2304	2196
512	2306	2189
513	2309	2183
514	2310	2176
515	2312	2169
516	2314	2161
517	2315	2154
518	2317	2147
519	2319	2140
520	2321	2134
521	2323	2127
522	2324	2120
523	2326	2113
524	2328	2106
525	2329	2099
526	2331	2092
527	2333	2085
528	2334	2078
529	2337	2072
530	2339	2066
531	2341	2059
532	2342	2052
533	2344	2046
534	2346	2039
535	2348	2033
536	2350	2026
537	2352	2020
538	2354	2014
539	2356	2007
540	2358	2001
541	2360	1994
542	2362	1988
543	2364	1982
544	2367	1976
545	2369	1970
546	2371	1964
547	2373	1958
548	2376	1951
549	2378	1945
550	2380	1939
551	2383	1934
552	2385	1928
553	2387	1922
554	2389	1915
555	2391	1909
556	2393	1903
557	2395	1897
558	2397	1891
559	2399	1885
560	2401	1879
561	2402	1872
562	2404	1866
563	2406	1860
564	2407	1853
565	2409	1847
566	2411	1841
567	2413	1835
568	2415	1829
569	2416	1823
570	2418	1817
571	2420	1810
572	2421	1804
573	2423	1798
574	2425	1792
575	2427	1786
576	2428	1780
577	2430	1774
578	2432	1768
579	2433	1762
580	2435	1756
581	2437	1750
582	2438	1744
583	2440	1738
584	2442	1732
585	2444	1726
586	2445	1720
587	2447	1714
588	2449	1708
589	2450	1703
590	2452	1697
591	2454	1691
592	2456	1685
593	2457	1679
594	2459	1674
595	2461	1668
596	2463	1662
597	2464	1656
598	2466	1651
599	2468	1645
600	2470	1639
601	2471	1634
602	2473	1628
603	2475	1622
604	2477	1617
605	2478	1611
606	2479	1605
607	2481	1600
608	2483	1594
609	2485	1588
610	2486	1583
611	2488	1577
612	2490	1572
613	2492	1566
614	2493	1561
615	2495	1555
616	2497	1550
617	2499	1544
618	2501	1539
619	2503	1534
620	2505	1529
621	2507	1524
622	2509	1518
623	2511	1513
624	2513	1507
625	2514	1502
626	2516	1497
627	2518	1491
628	2520	1486
629	2521	1481
630	2523	1475
631	2525	1470
632	2527	1465
633	2528	1459
634	2530	1454
635	2531	1449
636	2533	1443
637	2535	1438
638	2536	1433
639	2538	1427
640	2540	1422
641	2542	1417
642	2544	1412
643	2547	1408
644	2549	1403
645	2551	1398
646	2553	1393
647	2555	1388
648	2557	1383
649	2559	1378
650	2561	1373
651	2563	1368
652	2566	1363
653	2568	1358
654	2569	1353
655	2571	1348
656	2573	1343
657	2575	1338
658	2577	1333
659	2579	1328
660	2580	1323
661	2582	1318
662	2584	1313
663	2586	1308
664	2587	1303
665	2589	1298
666	2591	1293
667	2593	1288
668	2594	1283
669	2596	1278
670	2602	1275
671	2607	1272
672	2613	1269
673	2618	1266
674	2623	1263
675	2629	1260
676	2634	1257
677	2640	1254
678	2646	1250
679	2652	1248
680	2657	1244
681	2662	1241
682	2668	1238
683	2674	1235
684	2679	1232
685	2685	1229
686	2690	1226
687	2696	1222
688	2701	1219
689	2707	1216
690	2712	1213
691	2718	1209
692	2724	1206
693	2730	1203
694	2736	1200
695	2741	1197
696	2746	1193
697	2751	1190
698	2757	1187
699	2762	1183
700	2767	1180
701	2772	1177
702	2777	1173
703	2783	1170
704	2789	1167
705	2794	1163
706	2799	1160
707	2805	1156
708	2810	1153
709	2815	1150
710	2820	1146
711	2826	1143
712	2831	1139
713	2836	1136
714	2841	1132
715	2846	1129
716	2852	1125
717	2858	1122
718	2863	1119
719	2869	1116
720	2875	1112
721	2881	1109
722	2886	1105
723	2891	1102
724	2897	1099
725	2902	1095
726	2907	1091
727	2912	1088
728	2917	1084
729	2923	1081
730	2929	1078
731	2934	1074
732	2940	1071
733	2946	1067
734	2952	1064
735	2958	1061
736	2963	1057
737	2969	1054
738	2974	1050
739	2979	1046
740	2985	1043
741	2990	1039
742	2996	1036
743	3001	1032
744	3006	1029
745	3012	1025
746	3017	1021
747	3022	1018
748	3028	1014
749	3033	1011
750	3039	1007
751	3044	1004
752	3049	1000
753	3055	996
754	3060	993
755	3065	989
756	3072	986
757	3078	982
758	3084	979
759	3089	975
760	3094	971
761	3100	968
762	3105	964
763	3110	960
764	3116	957
765	3121	953
766	3127	949
767	3132	946
768	3137	942
769	3141	938
770	3148	935
771	3153	931
772	3159	927
773	3165	924
774	3170	920
775	3175	916
776	3181	913
777	3186	909
778	3191	905
779	3197	901
780	3202	897
781	3207	894
782	3212	890
783	3217	886
784	3223	882
785	3228	878
786	3233	875
787	3239	871
788	3244	867
789	3249	863
790	3254	859
791	3259	856
792	3265	852
793	3271	848
794	3277	845
795	3283	841
796	3288	837
797	3293	833
798	3299	830
799	3304	826
800	3310	822
801	3315	818
802	3320	814
803	3326	810
804	3331	806
805	3336	803
806	3342	799
807	3347	795
808	3352	791
809	3358	787
810	3363	783
811	3368	779
812	3374	776
813	3380	772
814	3386	768
815	3391	764
816	3396	760
817	3402	756
818	3407	752
819	3412	749
820	3418	745
821	3424	741
822	3429	737
823	3435	733
824	3441	729
825	3446	726
826	3452	722
827	3457	718
828	3464	714
829	3470	710
830	3475	706
831	3481	702
832	3486	699
833	3492	695
834	3499	691
835	3504	687
836	3509	683
837	3515	679
838	3521	675
839	3526	671
840	3532	667
841	3537	663
842	3542	659
843	3547	655
844	3553	651
845	3558	647
846	3563	643
847	3569	639
848	3575	635
849	3581	631
850	3587	628
851	3592	624
852	3598	620
853	3604	616
854	3610	612
855	3615	608
856	3620	604
857	3625	600
858	3630	596
859	3636	591
860	3642	587
861	3647	583
862	3652	579
863	3658	575
864	3664	571
865	3670	567
866	3675	563
867	3680	559
868	3687	555
869	3691	551
870	3695	547
871	3698	542
872	3701	538
873	3704	534
874	3707	529
875	3709	525
876	3712	520
877	3714	516
878	3716	511
879	3718	507
880	3720	502
881	3722	498
882	3723	493
883	3725	488
884	3727	484
885	3729	479
886	3730	475
887	3732	470
888	3734	466
889	3735	461
890	3736	457
891	3738	452
892	3739	448
893	3741	443
894	3742	439
895	3744	434
896	3745	430
897	3747	425
898	3748	421
899	3750	416
900	3752	412
901	3754	407
902	3756	403
903	3759	399
904	3761	394
905	3763	390
906	3765	386
907	3768	381
908	3770	377
909	3772	373
910	3774	368
911	3776	364
912	3779	360
913	3780	355
914	3783	351
915	3785	347
916	3787	342
917	3789	338
918	3791	334
919	3793	329
920	3796	325
921	3798	321
922	3801	317
923	3803	312
924	3805	308
925	3808	304
926	3810	300
927	3812	295
928	3814	291
929	3816	287
930	3818	282
931	3820	278
932	3822	274
933	3825	270
934	3827	266
935	3829	261
936	3831	257
937	3833	253
938	3836	249
939	3838	245
940	3840	240
941	3842	236
942	3844	232
943	3846	228
944	3848	223
945	3851	219
946	3853	215
947	3856	211
948	3858	207
949	3860	203
950	3862	199
951	3863	194
952	3865	190
953	3867	186
954	3869	182
955	3870	178
956	3872	173
957	3874	169
958	3875	165
959	3877	161
960	3878	157
961	3880	153
962	3882	149
963	3883	145
964	3885	140
965	3887	136
966	3888	132
967	3890	128
968	3892	124
969	3893	120
970	3895	116
971	3897	112
972	3898	108
973	3900	104
974	3902	100
975	3903	95
976	3905	91
977	3907	87
978	3909	83
979	3910	79
980	3912	75
981	3914	71
982	3915	67
983	3917	63
984	3919	59
985	3920	55
986	3921	51
987	3923	47
988	3925	43
989	3926	39
990	3928	35
991	3929	31
992	3931	27
993	3933	23
994	3934	19
995	3936	15
996	3937	11
997	3939	7
998	3940	3
999	3942	0
