iter	Logloss
0	0.6841130889
1	0.6732495597
2	0.6659570595
3	0.6564673429
4	0.6472015193
5	0.639042768
6	0.6318271915
7	0.6243046265
8	0.6164230265
9	0.6087197825
10	0.6013946613
11	0.5930194249
12	0.5853990733
13	0.5764800001
14	0.5698158802
15	0.5615496169
16	0.5546773246
17	0.5482880824
18	0.5415894754
19	0.5352477562
20	0.5301112259
21	0.5243089409
22	0.5188208786
23	0.5129188944
24	0.5068326687
25	0.5003347613
26	0.4952384692
27	0.4891669328
28	0.4836119947
29	0.4775665014
30	0.4727760139
31	0.4683784954
32	0.4618114556
33	0.4558960383
34	0.4499962086
35	0.4448165636
36	0.4399070936
37	0.4350689338
38	0.4307437942
39	0.4259232309
40	0.4202366851
41	0.4148258845
42	0.4103796214
43	0.4052423278
44	0.4003277483
45	0.3963128574
46	0.3918331924
47	0.3874007778
48	0.3826629005
49	0.3785333558
50	0.3741888613
51	0.3701392049
52	0.3659855281
53	0.3620039185
54	0.357974411
55	0.3549798043
56	0.3504292451
57	0.3465605666
58	0.3429230422
59	0.339071788
60	0.3352567449
61	0.3322242099
62	0.3281760448
63	0.3250973405
64	0.3213579658
65	0.3180152859
66	0.31410415
67	0.3106833012
68	0.3072726203
69	0.3041460147
70	0.3000259278
71	0.2970282039
72	0.2931890861
73	0.2895675848
74	0.2863939549
75	0.2835094755
76	0.2802891361
77	0.2772168448
78	0.2739899961
79	0.2702930419
80	0.2679566073
81	0.2656172311
82	0.2628006136
83	0.2604201718
84	0.2579852533
85	0.2556035689
86	0.2531711485
87	0.2500898858
88	0.246907508
89	0.2442368256
90	0.2416187138
91	0.2395086603
92	0.2367019601
93	0.2344136474
94	0.2324324774
95	0.2305160519
96	0.22780714
97	0.2255111134
98	0.223011795
99	0.2210587505
100	0.2190386378
101	0.2167591538
102	0.2144822157
103	0.2124392718
104	0.2104074234
105	0.2084845612
106	0.2060497213
107	0.2036388477
108	0.2019773623
109	0.1999142353
110	0.1975849841
111	0.1958394116
112	0.1937358163
113	0.1915836917
114	0.1896838061
115	0.1875893998
116	0.1859630097
117	0.184082235
118	0.1826646505
119	0.1813299047
120	0.1796831816
121	0.1781634551
122	0.1766789772
123	0.1749387776
124	0.1736614495
125	0.1723013383
126	0.1706349437
127	0.1692027135
128	0.1676450385
129	0.1662250986
130	0.1648636788
131	0.1636479621
132	0.1621149281
133	0.1605744303
134	0.1590115821
135	0.1574379854
136	0.1561757444
137	0.1550227233
138	0.153827421
139	0.1526535913
140	0.1514919577
141	0.1497785501
142	0.148627853
143	0.1476576276
144	0.1465932498
145	0.1452772355
146	0.144233287
147	0.1430173909
148	0.1420503573
149	0.1410215792
150	0.139865084
151	0.1386872668
152	0.1375723114
153	0.1364848273
154	0.1353102634
155	0.1340777265
156	0.132791022
157	0.1316737572
158	0.1306274029
159	0.1295349893
160	0.1285206518
161	0.1271518436
162	0.1259884572
163	0.1250647647
164	0.1242140027
165	0.1232127934
166	0.1221631641
167	0.1211680311
168	0.120474013
169	0.1195700621
170	0.1185834434
171	0.1174815068
172	0.1165250304
173	0.1154639498
174	0.1144231381
175	0.1136522797
176	0.1127108591
177	0.1119523016
178	0.1110682291
179	0.1102806729
180	0.1095349972
181	0.1088230315
182	0.1081478766
183	0.1072966221
184	0.1063778905
185	0.1056197842
186	0.1048114287
187	0.1038211597
188	0.1031678339
189	0.1023998326
190	0.1019086065
191	0.1010744166
192	0.1003249019
193	0.09982449144
194	0.0990176476
195	0.09814534214
196	0.09759450221
197	0.0969736432
198	0.09644861274
199	0.09584540718
200	0.09496360821
201	0.09440649604
202	0.09376068037
203	0.09311719124
204	0.09255712504
205	0.09193937202
206	0.09132183253
207	0.09081410707
208	0.09036392694
209	0.08975188156
210	0.08919005997
211	0.08863222861
212	0.08787469287
213	0.08725812278
214	0.08669071014
215	0.08622241937
216	0.08564820001
217	0.08498989226
218	0.08438258774
219	0.08385422728
220	0.08342239621
221	0.08288783294
222	0.0822869107
223	0.08169674087
224	0.08104445646
225	0.08063755193
226	0.08007719622
227	0.07963375862
228	0.07918996732
229	0.07863807416
230	0.07826753894
231	0.07788675303
232	0.07727581066
233	0.07663113599
234	0.07622595148
235	0.07570159173
236	0.07530187512
237	0.07496059989
238	0.07445636031
239	0.07413316428
240	0.07376686688
241	0.07340420209
242	0.07293070935
243	0.07259051616
244	0.07206758431
245	0.07149848571
246	0.07118413999
247	0.07088158943
248	0.07051728322
249	0.07018318543
250	0.06984793616
251	0.06943813392
252	0.06904751783
253	0.06875193774
254	0.06837239894
255	0.06804626067
256	0.06770704998
257	0.06717348623
258	0.06683858279
259	0.06650747834
260	0.0660986075
261	0.06572527152
262	0.06532169436
263	0.06488599751
264	0.06451458852
265	0.06415438521
266	0.06360231913
267	0.06314882734
268	0.06288105446
269	0.0625387273
270	0.0620965486
271	0.06184122196
272	0.06132484792
273	0.06105642135
274	0.06064989672
275	0.06020619712
276	0.05990812674
277	0.05964761252
278	0.05930381948
279	0.05876701612
280	0.05850059253
281	0.05813678542
282	0.05793063719
283	0.05760775818
284	0.05722264536
285	0.05692725391
286	0.05658266964
287	0.05634515495
288	0.05605295464
289	0.05576209839
290	0.05543645529
291	0.05511191127
292	0.05487433502
293	0.05452216196
294	0.05424700858
295	0.05393299035
296	0.05358808381
297	0.05332197331
298	0.05301151957
299	0.05267836628
300	0.05236298173
301	0.05216396117
302	0.05191592856
303	0.05164116294
304	0.05133787354
305	0.05107993608
306	0.05073645744
307	0.05043437586
308	0.05011667524
309	0.04991055583
310	0.04964633957
311	0.04939341807
312	0.04913376845
313	0.04889535249
314	0.04862503167
315	0.04831263259
316	0.04801025364
317	0.04772971882
318	0.04741112347
319	0.04723754296
320	0.04695551474
321	0.04673448893
322	0.04650411894
323	0.04627119709
324	0.04604324535
325	0.04588673534
326	0.04569259581
327	0.04538568167
328	0.04516954867
329	0.04493587227
330	0.04470533329
331	0.0445384023
332	0.04431416569
333	0.04412413822
334	0.04390193473
335	0.04371901528
336	0.04351979036
337	0.04329349837
338	0.04316928884
339	0.04302917732
340	0.04284638101
341	0.04261266137
342	0.0424624223
343	0.04228470352
344	0.0420403022
345	0.0417389254
346	0.04159454985
347	0.04135785522
348	0.04108060716
349	0.04088413191
350	0.04065382088
351	0.0404310305
352	0.04028380179
353	0.0401193886
354	0.03986660596
355	0.03968387777
356	0.03953260511
357	0.03940154039
358	0.03921687472
359	0.03902329062
360	0.03881453289
361	0.03867216818
362	0.03844096372
363	0.03829115826
364	0.03813774376
365	0.03797103546
366	0.03784592597
367	0.03766591732
368	0.03748007397
369	0.03735282002
370	0.03723561109
371	0.03707728805
372	0.03694001004
373	0.03675479417
374	0.03659315293
375	0.03642434602
376	0.03626892069
